State,2014-2015,2012-2013 (38),2011-2012,2010-2011 (37),2009-2010 (36) (37),2008-2009 (36),2007-2008,2006-2007,2005-2006,2004-2005(revised),2003-2004(revised),2002-2003,2001-2002,2000-2001 (30),1999-2000 (29) (30),1998-1999 (29),1997-1998,1996-1997,1995-1996 (25),1994-1995 (24) (25),1993-1994 (23) (24),1992-1993 (22) (23),1991-1992 (22),1990-1991,1989-1990,1988-1989,1987-1988 (21),1986-1987 (21),1985-1986 (20),1984-1985 (19) (20)
United States,55117,52758,52708,53160,54200,55182,56400,57043,56444,55927,55726,55847,56201,57161,57850,57209,55508,53956,53036,51865,50772,50602,50935,51915,53026,52900,52232,51710,50509,49175
Alabama,43418,43487,44877,44691,44331,46564,48608,46434,44851,45524,46985,48775,48305,47911,50169,52144,49874,46320,42883,41606,41785,41629,42032,41214,40196,38856,38909,39444,39007,38074
Alaska,71409,63957,63115,61706,65287,69248,71226,69166,67078,68462,67946,68164,73160,74763,72934,73402,72180,75056,76766,72958,70585,69290,69080,69046,67810,65114,65052,65536,68905,71709
Arizona,50779,50026,49902,51110,50545,51087,52809,54411,54880,54965,54033,52698,54758,55961,53698,53272,51062,47915,47652,48613,49413,48953,50396,51801,52066,51812,52158,53019,51404,48371
Arkansas,43886,40449,41903,42737,41135,41971,45106,45098,44027,44194,42569,41954,43650,42751,41554,41220,39370,39674,40354,40179,38844,38384,39664,39939,39831,39210,38219,38124,37665,35370
California,62096,58700,57552,57626,60475,62388,63238,64371,63922,62288,62647,63014,62883,63851,63257,60785,58977,58434,57800,56558,55487,56422,57471,57862,59758,59636,59259,60033,58287,55830
Colorado,63803,61794,60447,63634,63454,64437,68491,67684,63352,62539,64103,63990,64877,66260,67473,68137,65700,62649,62265,61395,57802,54755,53630,53775,51782,49988,51673,54493,57673,57650
Connecticut,71566,67646,67632,70343,71383,71423,72264,73341,71169,69058,69985,70583,70875,70234,70522,69790,66187,64083,62787,63620,64447,65735,69593,69978,73263,73938,67677,66574,66434,65216
Delaware,57672,51845,54080,58814,58755,56693,59109,62023,61913,61236,61730,64290,65907,67860,67833,63300,61817,61267,56566,55379,57524,58672,57196,54759,56702,58977,58568,55640,50591,52204
D.C.,69213,64547,62791,60057,61487,59951,59624,57520,55797,54564,56284,54760,53293,55923,55880,51806,47757,47514,47811,47593,45891,47099,50408,49466,48793,50445,53158,52508,47245,44323
