code,state,avg_income
AL,Alabama,44328
AZ,Arizona,51683
AR,Arkansas,40868
CA,California,59959
CO,Colorado,60894
CT,Connecticut,68820
DE,Delaware,59009
FL,Florida,48649
GA,Georgia,51667
HI,Hawaii,65376
ID,Idaho,49665
IL,Illinois,57348
IN,Indiana,50843
IA,Iowa,51849
KS,Kansas,51405
KY,Kentucky,44467
LA,Louisiana,43655
MD,Maryland,69113
MA,Massachusetts,63897
MI,Michigan,55558
MN,Minnesota,61097
MO,Missouri,51258
NE,Nebraska,52741
NV,Nevada,56437
NJ,New Jersey,69423
NM,New Mexico,44555
NY,New York,54023
NC,North Carolina,48189
OH,Ohio,52749
OK,Oklahoma,45824
OR,Oregon,53703
PA,Pennsylvania,53323
RI,Rhode Island,56321
TN,Tennessee,44351
TX,Texas,50706
UT,Utah,59529
VA,Virginia,63609
WA,Washington,59832
WI,Wisconsin,56717
