Year,Region,State,City,All Deaths,< 1,1-24,25-44,45-64,65+
1984,1,MA,Boston,9526,432,297,663,2258,5870
1985,1,MA,Boston,9479,474,274,664,2176,5888
1986,1,MA,Boston,9294,444,286,760,2093,5709
1987,1,MA,Boston,9291,386,291,798,1947,5866
1988,1,MA,Boston,9559,403,321,891,2034,5904
1989,1,MA,Boston,9321,414,311,907,1926,5757
1990,1,MA,Boston,9220,426,306,883,1920,5680
1991,1,MA,Boston,9052,352,280,1022,1756,5638
1992,1,MA,Boston,8992,354,242,985,1790,5618
1993,1,MA,Boston,8888,334,266,952,1795,5535
1994,1,MA,Boston,8227,297,253,944,1662,5066
1995,1,MA,Boston,8220,298,249,894,1599,5175
1996,1,MA,Boston,7898,224,233,728,1569,5137
1997,1,MA,Boston,7860,248,285,670,1565,5090
1998,1,MA,Boston,7579,203,197,581,1505,5092
1999,1,MA,Boston,7490,203,192,587,1498,5010
2000,1,MA,Boston,7998,222,232,627,1634,5283
2001,1,MA,Boston,7254,184,219,600,1507,4742
2002,1,MA,Boston,7605,224,243,600,1670,4864
2003,1,MA,Boston,7603,248,191,537,1630,4960
2004,1,MA,Boston,6947,203,218,496,1509,4493
2005,1,MA,Boston,7198,225,190,489,1598,4696
2006,1,MA,Boston,7114,238,227,481,1612,4526
2007,1,MA,Boston,7225,233,254,472,1615,4616
2008,1,MA,Boston,7357,243,215,471,1731,4684
2009,1,MA,Boston,6754,224,192,462,1719,4157
2010,1,MA,Boston,6665,164,189,412,1731,4169
2011,1,MA,Boston,6764,183,192,418,1682,4289
2012,1,MA,Boston,7074,188,200,444,1801,4439
2013,1,MA,Boston,7224,165,181,426,1766,4686
2014,1,MA,Boston,7118,183,175,461,1730,4567
2015,1,MA,Boston,7670,209,163,523,1830,4945
1984,1,CT,Bridgeport,2330,46,50,128,457,1649
1985,1,CT,Bridgeport,2436,45,52,136,495,1708
1986,1,CT,Bridgeport,2444,42,58,153,476,1715
1987,1,CT,Bridgeport,2373,45,51,172,419,1686
1988,1,CT,Bridgeport,2342,33,47,156,379,1727
1989,1,CT,Bridgeport,2316,48,68,145,391,1663
1990,1,CT,Bridgeport,2322,34,58,182,390,1658
1991,1,CT,Bridgeport,2134,37,50,164,351,1531
1992,1,CT,Bridgeport,2173,40,55,164,330,1584
1993,1,CT,Bridgeport,2321,53,70,185,352,1661
1994,1,CT,Bridgeport,2027,33,47,175,329,1443
1995,1,CT,Bridgeport,1951,18,41,164,339,1381
1996,1,CT,Bridgeport,2018,29,40,151,334,1464
1997,1,CT,Bridgeport,2061,25,42,131,320,1543
1998,1,CT,Bridgeport,2007,31,42,121,318,1495
1999,1,CT,Bridgeport,2000,17,38,113,339,1493
2000,1,CT,Bridgeport,2012,26,17,105,344,1520
2001,1,CT,Bridgeport,1822,22,28,125,303,1344
2002,1,CT,Bridgeport,1696,24,17,105,282,1268
2003,1,CT,Bridgeport,1869,21,28,98,370,1352
2004,1,CT,Bridgeport,1725,9,16,94,318,1288
2005,1,CT,Bridgeport,1775,16,30,85,314,1329
2006,1,CT,Bridgeport,1712,18,28,104,347,1215
2007,1,CT,Bridgeport,1685,19,29,83,341,1213
2008,1,CT,Bridgeport,1264,3,21,59,250,931
2009,1,CT,Bridgeport,40,3,1,2,8,26
2010,1,CT,Bridgeport,143,4,5,11,20,103
2011,1,CT,Bridgeport,94,4,4,6,17,63
2012,1,CT,Bridgeport,995,14,18,48,217,698
2013,1,CT,Bridgeport,1589,10,22,77,286,1194
2014,1,CT,Bridgeport,1681,20,22,74,343,1222
2015,1,CT,Bridgeport,1612,22,19,76,296,1199
1984,1,MA,Cambridge,1354,4,15,44,224,1067
1985,1,MA,Cambridge,1432,6,8,51,244,1123
1986,1,MA,Cambridge,1438,4,9,57,203,1165
1987,1,MA,Cambridge,1374,4,10,51,205,1104
1988,1,MA,Cambridge,1253,8,8,52,202,981
1989,1,MA,Cambridge,1161,2,6,58,172,923
1990,1,MA,Cambridge,1169,8,8,56,181,916
1991,1,MA,Cambridge,1149,2,7,57,172,911
1992,1,MA,Cambridge,1196,1,2,85,169,938
1993,1,MA,Cambridge,1224,4,6,72,191,951
1994,1,MA,Cambridge,1188,1,7,72,195,912
1995,1,MA,Cambridge,1130,2,10,91,195,831
1996,1,MA,Cambridge,1017,2,6,54,158,796
1997,1,MA,Cambridge,958,5,6,50,137,760
1998,1,MA,Cambridge,884,5,2,46,128,703
1999,1,MA,Cambridge,872,2,6,35,124,705
2000,1,MA,Cambridge,850,8,8,39,127,668
2001,1,MA,Cambridge,920,3,9,33,146,727
2002,1,MA,Cambridge,928,2,4,48,144,730
2003,1,MA,Cambridge,970,3,3,34,160,770
2004,1,MA,Cambridge,942,2,10,41,145,743
2005,1,MA,Cambridge,807,5,6,38,134,621
2006,1,MA,Cambridge,833,3,2,23,148,653
2007,1,MA,Cambridge,782,5,8,27,115,625
2008,1,MA,Cambridge,608,0,6,12,90,500
2010,1,MA,Cambridge,78,0,1,1,10,66
2011,1,MA,Cambridge,564,1,7,18,100,438
2012,1,MA,Cambridge,745,2,2,21,130,590
2013,1,MA,Cambridge,733,0,4,16,125,588
2014,1,MA,Cambridge,799,8,3,25,102,661
2015,1,MA,Cambridge,766,1,9,35,122,596
1984,1,MA,Fall River,1491,5,16,45,273,1152
1985,1,MA,Fall River,1484,5,11,56,280,1131
1986,1,MA,Fall River,1551,5,19,44,265,1218
1987,1,MA,Fall River,1451,4,15,59,222,1151
1988,1,MA,Fall River,1544,6,12,57,236,1233
1989,1,MA,Fall River,1443,6,14,51,224,1148
1990,1,MA,Fall River,1352,8,7,49,197,1091
1991,1,MA,Fall River,1330,4,12,51,189,1074
1992,1,MA,Fall River,1433,3,9,61,171,1189
1993,1,MA,Fall River,1509,11,17,74,199,1208
1994,1,MA,Fall River,1463,6,10,62,166,1219
1995,1,MA,Fall River,1402,1,11,68,172,1150
1996,1,MA,Fall River,1406,3,11,53,170,1169
1997,1,MA,Fall River,1479,4,12,56,179,1228
1998,1,MA,Fall River,1443,4,10,63,189,1177
1999,1,MA,Fall River,1400,7,11,53,168,1161
2000,1,MA,Fall River,1482,6,5,47,158,1266
2001,1,MA,Fall River,1352,3,9,48,173,1119
2002,1,MA,Fall River,1348,3,7,52,199,1087
2003,1,MA,Fall River,1368,3,15,61,208,1081
2004,1,MA,Fall River,1310,7,12,57,196,1035
2005,1,MA,Fall River,1310,3,12,55,203,1037
2006,1,MA,Fall River,1296,10,9,62,187,1028
2007,1,MA,Fall River,1232,11,8,65,175,972
2008,1,MA,Fall River,1036,6,5,42,141,842
2011,1,MA,Fall River,55,1,2,1,8,43
2012,1,MA,Fall River,750,1,5,43,133,568
2013,1,MA,Fall River,1324,3,14,53,208,1043
2014,1,MA,Fall River,1309,7,7,57,260,975
2015,1,MA,Fall River,1316,4,8,70,226,1008
1984,1,CT,Hartford,3120,97,58,188,660,2116
1985,1,CT,Hartford,2949,100,65,191,630,1961
1986,1,CT,Hartford,3246,110,88,224,718,2106
1987,1,CT,Hartford,3152,101,101,250,643,2055
1988,1,CT,Hartford,3124,102,116,297,604,2005
1989,1,CT,Hartford,3247,106,96,304,668,2073
1990,1,CT,Hartford,3002,91,105,278,542,1986
1991,1,CT,Hartford,2888,85,76,272,539,1916
1992,1,CT,Hartford,2954,68,84,275,569,1958
1993,1,CT,Hartford,2866,62,101,309,516,1878
1994,1,CT,Hartford,2779,86,109,311,518,1755
1995,1,CT,Hartford,2710,79,95,310,558,1668
1996,1,CT,Hartford,2708,65,91,254,545,1753
1997,1,CT,Hartford,2755,85,73,222,530,1845
1998,1,CT,Hartford,2799,75,86,220,508,1910
1999,1,CT,Hartford,2835,53,74,232,532,1944
2000,1,CT,Hartford,2817,68,74,219,605,1848
2001,1,CT,Hartford,2593,61,66,238,533,1693
2002,1,CT,Hartford,2354,47,70,187,497,1553
2003,1,CT,Hartford,2495,59,73,217,584,1560
2004,1,CT,Hartford,2473,41,56,164,564,1647
2005,1,CT,Hartford,2869,62,76,196,632,1903
2006,1,CT,Hartford,2768,47,73,178,608,1862
2007,1,CT,Hartford,2547,73,58,150,541,1725
2008,1,CT,Hartford,2215,46,72,117,492,1474
2009,1,CT,Hartford,580,16,17,30,132,385
2010,1,CT,Hartford,1002,32,36,60,226,648
2011,1,CT,Hartford,987,26,31,58,222,650
2012,1,CT,Hartford,2114,42,49,108,480,1435
2013,1,CT,Hartford,2758,39,66,127,668,1858
2014,1,CT,Hartford,2722,54,39,155,591,1883
2015,1,CT,Hartford,2936,56,43,172,653,2012
1984,1,MA,Lowell,1400,13,33,52,256,1046
1985,1,MA,Lowell,1499,7,28,74,274,1116
1986,1,MA,Lowell,1432,8,22,70,276,1056
1987,1,MA,Lowell,1423,8,27,65,243,1080
1988,1,MA,Lowell,1485,12,23,81,281,1088
1989,1,MA,Lowell,1344,21,27,74,233,988
1990,1,MA,Lowell,1360,21,21,76,251,991
1991,1,MA,Lowell,1255,9,20,80,178,967
1992,1,MA,Lowell,1351,11,8,71,213,1048
1993,1,MA,Lowell,1307,16,15,66,204,1006
1994,1,MA,Lowell,1343,9,21,85,206,1022
1995,1,MA,Lowell,1264,5,12,106,179,962
1996,1,MA,Lowell,1294,8,13,61,194,1018
1997,1,MA,Lowell,1351,4,7,74,186,1080
1998,1,MA,Lowell,1278,6,7,73,209,983
1999,1,MA,Lowell,1317,6,14,71,204,1022
