UNITED STATES,238685127,241808311,244972362,248177813,251425209,254715096,258048031,261424577,264845306,268310794,271821628,275378402,278981715,282632178,286330407,290077027,293872671,297717981,301613607,305560207,309558448,313609006,317712565,321869819,326081471,330348232,334670823,339049975,343486428,347980932,352534246,357147141
Alabama,3890096,3914198,3938299,3962401,3986503,4010604,4034706,4058808,4082910,4107011,4131113,4155215,4179316,4203418,4227520,4251621,4275723,4299825,4323926,4348028,4372130,4396231,4420333,4444435,4468537,4492638,4516740,4540842,4564943,4589045,4613147,4637248
Alaska,391164,402056,413250,424757,436584,448740,461235,474078,487278,500846,514791,529125,543858,559001,574566,590564,607008,623909,641282,659138,677491,696355,715744,735673,756157,777212,798852,821096,843958,867458,891611,916437
Arizona,2970582,3081899,3197387,3317203,3441509,3570472,3704269,3843079,3987091,4136499,4291506,4452322,4619164,4792258,4971839,5158149,5351440,5551975,5760024,5975870,6199804,6432129,6673160,6923224,7182658,7451814,7731056,8020763,8321325,8633150,8956661,9292294
Arkansas,2223133,2232192,2241251,2250310,2259369,2268428,2277487,2286546,2295604,2304663,2313722,2322781,2331840,2340899,2349958,2359017,2368076,2377135,2386194,2395253,2404312,2413371,2422430,2431489,2440548,2449607,2458666,2467725,2476784,2485843,2494902,2503961
California,29699871,30713183,31761068,32844705,33965315,35124157,36322537,37561805,38843354,40168627,41539117,42956366,44421968,45937575,47504892,49125684,50801774,52535050,54327462,56181029,58097836,60080042,62129878,64249650,66441746,68708633,71052862,73477073,75983994,78576447,81257351,84029722
Colorado,2867301,2922203,2978158,3035183,3093300,3152531,3212895,3274415,3337113,3401012,3466134,3532503,3600143,3669079,3739334,3810934,3883905,3958274,4034067,4111311,4190034,4270264,4352031,4435363,4520291,4606845,4695056,4784957,4876579,4969955,5065119,5162105
Connecticut,3363058,3412772,3463222,3514417,3566368,3619088,3672587,3726877,3781970,3837877,3894610,3952182,4010605,4069892,4130055,4191107,4253062,4315933,4379733,4444477,4510177,4576849,4644506,4713163,4782835,4853538,4925285,4998093,5071977,5146953,5223038,5300248
Delaware,608786,618320,628004,637840,647829,657975,668280,678746,689377,700173,711139,722277,733589,745078,756747,768599,780636,792862,805280,817892,830701,843711,856925,870346,883977,897821,911883,926164,940669,955402,970365,985562
District of Columbia,794217,801897,809652,817481,825386,833367,841425,849562,857777,866072,874446,882902,891440,900060,908763,917551,926423,935381,944426,953559,962780,972089,981489,990980,1000563,1010238,1020007,1029870,1039829,1049884,1060036,1070286
Florida,10735076,11135802,11551487,11982689,12429987,12893982,13375298,13874580,14392500,14929754,15487062,16065174,16664866,17286943,17932242,18601630,19296004,20016299,20763481,21538555,22342561,23176580,24041732,24939178,25870125,26835823,27837570,28876710,29954640,31072808,32232715,33435920
Georgia,5480188,5540768,5602018,5663945,5726556,5789860,5853864,5918575,5984001,6050151,6117031,6184652,6253019,6322143,6392030,6462690,6534132,6606363,6679392,6753229,6827882,6903360,6979673,7056829,7134838,7213709,7293453,7374077,7455594,7538011,7621339,7705588
Hawaii,1051406,1074830,1098776,1123256,1148281,1173863,1200016,1226751,1254082,1282021,1310584,1339782,1369631,1400145,1431339,1463228,1495827,1529153,1563221,1598048,1633651,1670047,1707254,1745290,1784173,1823922,1864558,1906098,1948564,1991976,2036355,2081723
Idaho,913313,921838,930364,938889,947415,955940,964466,972991,981516,990042,998567,1007093,1015618,1024143,1032669,1041194,1049720,1058245,1066770,1075296,1083821,1092347,1100872,1109398,1117923,1126448,1134974,1143499,1152025,1160550,1169075,1177601
Illinois,11627392,11706972,11786552,11866132,11945712,12025292,12104872,12184452,12264032,12343612,12423192,12502772,12582352,12661931,12741511,12821091,12900671,12980251,13059831,13139411,13218991,13298571,13378151,13457731,13537311,13616891,13696471,13776050,13855630,13935210,14014790,14094370
Indiana,5580287,5635234,5690722,5746756,5803342,5860485,5918191,5976465,6035313,6094740,6154752,6215356,6276556,6338359,6400770,6463796,6527442,6591715,6656621,6722166,6788356,6855198,6922699,6990864,7059700,7129214,7199412,7270302,7341890,7414182,7487187,7560910
Iowa,2878218,2885959,2893699,2901440,2909180,2916921,2924661,2932402,2940142,2947882,2955623,2963363,2971104,2978844,2986585,2994325,3002066,3009806,3017547,3025287,3033027,3040768,3048508,3056249,3063989,3071730,3079470,3087211,3094951,3102692,3110432,3118172
Kansas,2383965,2394363,2404761,2415159,2425557,2435955,2446353,2456751,2467149,2477547,2487944,2498342,2508740,2519138,2529536,2539934,2550332,2560730,2571128,2581526,2591923,2602321,2612719,2623117,2633515,2643913,2654311,2664709,2675107,2685505,2695902,2706300
Kentucky,3604889,3626943,3649132,3671457,3693919,3716517,3739254,3762130,3785146,3808303,3831602,3855043,3878627,3902356,3926230,3950250,3974417,3998732,4023195,4047808,4072572,4097488,4122555,4147776,4173152,4198682,4224369,4250213,4276215,4302376,4328697,4355180
Louisiana,4240058,4295773,4352221,4409410,4467350,4526052,4585526,4645781,4706827,4768676,4831337,4894822,4959141,5024305,5090326,5157214,5224981,5293638,5363198,5433672,5505071,5577409,5650697,5724949,5800176,5876392,5953609,6031840,6111100,6191401,6272758,6355183
Maine,1131254,1138116,1145019,1151964,1158952,1165982,1173054,1180169,1187328,1194530,1201775,1209065,1216399,1223777,1231200,1238668,1246181,1253740,1261345,1268996,1276693,1284437,1292228,1300066,1307952,1315885,1323867,1331897,1339976,1348103,1356281,1364507
Maryland,4415544,4490976,4567697,4645729,4725093,4805813,4887913,4971415,5056343,5142722,5230577,5319933,5410815,5503250,5597263,5692883,5790137,5889052,5989656,6091980,6196051,6301900,6409558,6519054,6630421,6743691,6858896,6976069,7095243,7216454,7339735,7465122
Massachusetts,5952190,5987189,6022189,6057188,6092187,6127187,6162186,6197185,6232184,6267184,6302183,6337182,6372182,6407181,6442180,6477179,6512179,6547178,6582177,6617176,6652176,6687175,6722174,6757174,6792173,6827172,6862171,6897171,6932170,6967169,7002169,7037168
Michigan,9445468,9532210,9618951,9705693,9792435,9879177,9965918,10052660,10139402,10226143,10312885,10399627,10486368,10573110,10659852,10746593,10833335,10920077,11006819,11093560,11180302,11267044,11353785,11440527,11527269,11614010,11700752,11787494,11874235,11960977,12047719,12134461
Minnesota,4143699,4172453,4201207,4229961,4258715,4287469,4316223,4344977,4373732,4402486,4431240,4459994,4488748,4517502,4546256,4575011,4603765,4632519,4661273,4690027,4718781,4747535,4776290,4805044,4833798,4862552,4891306,4920060,4948814,4977568,5006323,5035077
Mississippi,2499351,2509589,2519828,2530067,2540305,2550544,2560783,2571021,2581260,2591498,2601737,2611976,2622214,2632453,2642692,2652930,2663169,2673407,2683646,2693885,2704123,2714362,2724601,2734839,2745078,2755316,2765555,2775794,2786032,2796271,2806510,2816748
Missouri,4958047,4986527,5015170,5043978,5072952,5102091,5131399,5160874,5190519,5220334,5250321,5280479,5310811,5341317,5371999,5402856,5433891,5465104,5496497,5528069,5559824,5591760,5623880,5656184,5688675,5721351,5754216,5787269,5820512,5853946,5887572,5921391
Montana,794961,800444,805927,811410,816893,822376,827858,833341,838824,844307,849790,855273,860756,866238,871721,877204,882687,888170,893653,899136,904619,910101,915584,921067,926550,932033,937516,942999,948482,953964,959447,964930
Nebraska,1557844,1562873,1567902,1572930,1577959,1582988,1588016,1593045,1598074,1603103,1608131,1613160,1618189,1623218,1628246,1633275,1638304,1643333,1648361,1653390,1658419,1663448,1668476,1673505,1678534,1683563,1688591,1693620,1698649,1703678,1708706,1713735
Nevada,763405,791238,820086,849985,880975,913094,946385,980889,1016652,1053718,1092135,1131953,1173223,1215998,1260332,1306283,1353909,1403271,1454433,1507460,1562420,1619385,1678426,1739620,1803045,1868782,1936916,2007534,2080727,2156588,2235216,2316709
New Hampshire,882087,891584,901183,910885,920692,930605,940624,950751,960987,971334,981792,992362,1003046,1013845,1024761,1035794,1046946,1058218,1069611,1081127,1092767,1104532,1116424,1128443,1140593,1152873,1165285,1177831,1190512,1203330,1216285,1229380
New Jersey,7570582,7639203,7707825,7776446,7845067,7913688,7982310,8050931,8119552,8188173,8256795,8325416,8394037,8462658,8531280,8599901,8668522,8737144,8805765,8874386,8943007,9011629,9080250,9148871,9217492,9286114,9354735,9423356,9491978,9560599,9629220,9697841
New Mexico,1419229,1450505,1482470,1515140,1548529,1582654,1617531,1653177,1689608,1726843,1764897,1803790,1843541,1884167,1925689,1968126,2011498,2055825,2101130,2147433,2194756,2243122,2292554,2343075,2394710,2447483,2501418,2556542,2612881,2670462,2729311,2789457
New York,18758513,18885057,19011601,19138145,19264689,19391233,19517777,19644321,19770865,19897409,20023953,20150497,20277041,20403586,20530130,20656674,20783218,20909762,21036306,21162850,21289394,21415938,21542482,21669026,21795570,21922114,22048658,22175203,22301747,22428291,22554835,22681379
North Carolina,6289800,6377262,6465941,6555853,6647015,6739445,6833161,6928179,7024519,7122198,7221235,7321650,7423461,7526688,7631350,7737468,7845061,7954150,8064756,8176901,8290604,8405889,8522777,8641290,8761452,8883284,9006810,9132054,9259040,9387791,9518333,9650690
North Dakota,675840,677715,679590,681465,683339,685214,687089,688964,690839,692714,694588,696463,698338,700213,702088,703962,705837,707712,709587,711462,713337,715211,717086,718961,720836,722711,724586,726460,728335,730210,732085,733960
Ohio,11059383,11142475,11225566,11308658,11391749,11474841,11557932,11641024,11724115,11807206,11890298,11973389,12056481,12139572,12222664,12305755,12388847,12471938,12555030,12638121,12721213,12804304,12887396,12970487,13053579,13136670,13219761,13302853,13385944,13469036,13552127,13635219
Oklahoma,3032890,3052964,3073038,3093112,3113186,3133260,3153334,3173408,3193482,3213556,3233630,3253704,3273778,3293852,3313926,3334000,3354074,3374148,3394222,3414296,3434370,3454444,3474518,3494592,3514666,3534740,3554814,3574887,3594961,3615035,3635109,3655183
Oregon,2798560,2856819,2916291,2977002,3038976,3102240,3166821,3232747,3300045,3368745,3438874,3510463,3583543,3658144,3734298,3812037,3891394,3972404,4055100,4139518,4225693,4313662,4403462,4495132,4588710,4684236,4781751,4881296,4982913,5086645,5192537,5300634
Pennsylvania,12336290,12397283,12458277,12519270,12580263,12641256,12702249,12763242,12824235,12885228,12946221,13007214,13068207,13129200,13190193,13251187,13312180,13373173,13434166,13495159,13556152,13617145,13678138,13739131,13800124,13861117,13922110,13983103,14044097,14105090,14166083,14227076
Rhode Island,996255,1002505,1008755,1015005,1021254,1027504,1033754,1040004,1046254,1052503,1058753,1065003,1071253,1077503,1083752,1090002,1096252,1102502,1108751,1115001,1121251,1127501,1133751,1140000,1146250,1152500,1158750,1165000,1171249,1177499,1183749,1189999
South Carolina,3117303,3149341,3181708,3214408,3247444,3280819,3314537,3348602,3383017,3417786,3452912,3488399,3524250,3560471,3597063,3634031,3671380,3709112,3747232,3785744,3824652,3863959,3903670,3943790,3984322,4025270,4066640,4108434,4150658,4193316,4236413,4279952
South Dakota,717432,719563,721694,723824,725955,728086,730216,732347,734478,736608,738739,740870,743001,745131,747262,749393,751523,753654,755785,757915,760046,762177,764307,766438,768569,770700,772830,774961,777092,779222,781353,783484
Tennessee,4603676,4650701,4698206,4746196,4794676,4843652,4893128,4943109,4993601,5044609,5096137,5148192,5200779,5253903,5307569,5361784,5416552,5471880,5527773,5584237,5641278,5698901,5757113,5815919,5875327,5935341,5995968,6057214,6119086,6181590,6244732,6308520
Texas,14983297,15263595,15549137,15840020,16136345,16438213,16745729,17058998,17378127,17703225,18034406,18371782,18715470,19065587,19422254,19785593,20155730,20532790,20916905,21308205,21706825,22112903,22526577,22947990,23377286,23814614,24260122,24713965,25176298,25647281,26127074,26615842
Utah,1456409,1485115,1514387,1544236,1574673,1605710,1637358,1669631,1702539,1736096,1770315,1805208,1840789,1877071,1914068,1951794,1990264,2029493,2069494,2110284,2151878,2194291,2237541,2281643,2326614,2372472,2419234,2466917,2515540,2565121,2615680,2667235
Vermont,488188,490688,493201,495727,498265,500817,503381,505959,508550,511154,513772,516402,519047,521705,524376,527062,529761,532473,535200,537941,540695,543464,546247,549044,551856,554682,557522,560377,563247,566131,569030,571944
Virginia,5489436,5565512,5642643,5720843,5800126,5880509,5962005,6044631,6128402,6213333,6299442,6386744,6475256,6564995,6655978,6748221,6841743,6936560,7032692,7130156,7228971,7329155,7430728,7533708,7638116,7743970,7851292,7960101,8070418,8182263,8295659,8410626
Washington,4164677,4210036,4255396,4300755,4346115,4391475,4436834,4482194,4527554,4572913,4618273,4663633,4708992,4754352,4799712,4845071,4890431,4935791,4981150,5026510,5071870,5117229,5162589,5207949,5253308,5298668,5344028,5389387,5434747,5480106,5525466,5570826
West Virginia,2005817,2014612,2023407,2032202,2040997,2049791,2058586,2067381,2076176,2084971,2093766,2102561,2111356,2120151,2128946,2137741,2146536,2155331,2164126,2172921,2181716,2190511,2199306,2208101,2216896,2225691,2234486,2243280,2252075,2260870,2269665,2278460
Wisconsin,4868571,4916670,4965244,5014298,5063836,5113864,5164386,5215407,5266933,5318967,5371515,5424583,5478175,5532296,5586952,5642148,5697889,5754181,5811029,5868439,5926416,5984965,6044094,6103806,6164108,6225006,6286505,6348613,6411333,6474674,6538640,6603238
Wyoming,433544,437519,441493,445468,449442,453417,457392,461366,465341,469315,473290,477264,481239,485213,489188,493163,497137,501112,505086,509061,513035,517010,520985,524959,528934,532908,536883,540857,544832,548806,552781,556756
