code,state,proportion
AL,Alabama,0.6588801244915722
AZ,Arizona,0.6621782325685308
AR,Arkansas,0.6314103188360634
CA,California,0.6782775965047836
CO,Colorado,0.6627933495181343
CT,Connecticut,0.6929118028817789
DE,Delaware,0.7042130220682108
FL,Florida,0.6620052448349554
GA,Georgia,0.6012327940847572
HI,Hawaii,0.7081945749010902
ID,Idaho,0.7277495722420129
IL,Illinois,0.6004617719945275
IN,Indiana,0.6826813172695619
IA,Iowa,0.7277363672028246
KS,Kansas,0.6720152766016309
KY,Kentucky,0.655295354471074
LA,Louisiana,0.6347909261599141
MD,Maryland,0.5923402255639098
MA,Massachusetts,0.7032483653795972
MI,Michigan,0.611502850329744
MN,Minnesota,0.7202866929068432
MO,Missouri,0.6319077906300089
NE,Nebraska,0.7188488298545225
NV,Nevada,0.6480852989422479
NJ,New Jersey,0.5852090802112695
NM,New Mexico,0.6665029626180742
NY,New York,0.6822528916135656
NC,North Carolina,0.6419244794730031
OH,Ohio,0.6902349851719376
OK,Oklahoma,0.6938470923380339
OR,Oregon,0.7013098336835283
PA,Pennsylvania,0.6797100495263257
RI,Rhode Island,0.7300351370344343
TN,Tennessee,0.6535955665821538
TX,Texas,0.6209949627724295
UT,Utah,0.6743431035173808
VA,Virginia,0.6109206619057472
WA,Washington,0.6996381700720078
WI,Wisconsin,0.7111340434587422
